
100  37584	0.5	10	10		1.368696		1.329349
100  37584	0.6	10	10		1.368696		1.329349
100  37584	0.7	10	10		1.368696		1.335561
100  37584	0.8	10	10		1.368696		1.343967
100  37584	0.9	10	10		1.368696		1.355664
100  37584	1.0	10	10		1.368696		1.368696

100  30459	0.5	10	8		1.530770		1.578286
100  30459	0.6	10	8		1.530770		1.578286
100  30459	0.7	10	8		1.530770		1.568845
100  30459	0.8	10	8		1.530770		1.571552
100  30459	0.9	10	8		1.530770		1.549546
100  30459	1.0	10	8		1.530770		1.530770

100  23704	0.5	10	6		1.730871		1.913377
100  23704	0.6	10	6		1.730871		1.913377
100  23704	0.7	10	6		1.730871		1.877220
100  23704	0.8	10	6		1.730871		1.872050
100  23704	0.9	10	6		1.730871		1.800316
100  23704	1.0	10	6		1.730871		1.730871

100  16902	0.5	10	4		1.965558		2.296359
100  16902	0.6	10	4		1.965558		2.296359
100  16902	0.7	10	4		1.965558		2.266821
100  16902	0.8	10	4		1.965558		2.218892
100  16902	0.9	10	4		1.965558		2.100270
100  16902	1.0	10	4		1.965558		1.965558
