27,0.0017
37,6.1631
35,7.8817
26,7.9758
28,8.4569
23,8.6106
33,8.6306
25,8.6656
30,8.7694
14,9.1139
10,9.3694
8,9.5608
26,9.8608
26,10.0583
33,12.1419
18,12.1844
29,12.2514
23,12.3722
33,12.5844
35,12.6242
32,12.8803
11,12.9044
30,13.0511
27,13.2367
31,13.2931
32,13.3375
31,13.5161
34,13.7056
24,13.8986
38,13.9275
34,14.0994
23,14.6244
35,14.9103
35,14.9608
22,15.3728
24,15.4178
25,15.4417
15,48.1464
28,52.2006
26,52.4636
25,52.485
30,52.5147
34,52.6831
30,54.9544
18,55.0458
31,55.1131
23,55.1606
29,55.2453
23,55.3058
32,55.6839
16,55.8019
18,55.9153
34,56.2014
29,56.2689
18,56.2978
23,56.3903
25,56.4867
22,56.5292
36,56.5353
38,56.5747
29,57.1689
31,57.2211
19,57.3131
25,57.4892
30,57.6319
12,57.6767
30,57.8069
29,57.8436
25,57.9092
21,57.9525
29,58.9536
37,59.2692
26,59.2969
29,59.3358
8,59.3919
37,59.44
26,59.6389
27,59.6525
7,59.6669
28,59.6689
21,59.7786
32,59.7858
31,59.8244
32,59.8356
32,59.9025
38,60.0517
32,60.155
24,60.1858
23,60.1914
27,60.2269
29,60.2636
27,60.3747
26,60.4417
15,60.4489
18,60.5097
39,60.5519
24,60.5614
23,60.5892
19,60.6125
35,60.6633
22,60.7661
31,60.8186
24,60.9567
39,61.0017
41,61.0989
23,61.1136
21,61.1161
19,61.1578
18,61.28
19,61.5767
37,65.7728
28,66.0025
35,66.0358
30,66.0386
33,66.125
6,66.1367
13,66.2383
23,77.1914
15,78.5494
14,78.6689
12,79.6503
12,79.7697
24,79.8542
17,80.03
15,80.0517
16,80.1717
18,80.2097
35,80.7553
21,80.7917
3,80.9533
25,81.185
23,81.2294
22,81.2406
25,81.5106
12,82.3764
37,82.4
16,82.4992
36,82.5875
12,82.5986
35,82.7267
34,82.8394
35,82.9061
10,83.0156
28,83.2158
17,83.2789
20,83.7256
27,84.0919
15,84.1428
16,84.2261
24,84.2403
23,84.2703
30,84.2875
33,84.5658
25,84.5781
22,84.7094
19,84.9681
26,84.9806
25,85.0722
16,85.1528
26,85.175
25,85.2197
22,85.2497
11,85.2569
24,85.2783
8,85.3111
7,85.4111
23,85.46
20,85.9125
18,85.9572
17,86.1828
16,86.1958
22,86.2958
11,86.3158
18,86.4161
22,86.4744
39,86.5381
40,86.5633
27,86.6017
13,87.0033
40,87.0256
13,87.1958
36,87.28
10,87.4
24,102.7489
26,102.8253
13,102.8278
13,102.8722
25,102.9808
23,103.0317
22,103.1231
34,103.1403
15,103.1694
23,103.2683
17,103.3081
17,103.3819
24,103.4267
25,103.46
34,103.4611
6,103.4867
8,103.5283
25,103.6192
32,103.8456
26,104.0006
24,104.0019
25,104.0186
26,104.0469
27,104.0633
28,104.0744
11,104.1578
25,104.1886
26,104.2053
17,104.2192
36,104.3508
34,104.4222
22,104.4233
20,104.465
31,104.5167
30,104.5389
32,104.5411
28,104.5867
31,104.6011
30,104.6289
30,104.7061
17,104.9683
23,105.105
22,105.1383
16,105.1975
15,105.2475
28,105.4456
34,105.4686
19,105.5664
16,105.5933
6,105.6272
13,105.7219
11,105.8108
21,105.8717
22,105.8883
36,106.6872
27,106.8283
31,106.9344
24,106.9542
28,106.9564
21,107.0425
37,107.1514
33,107.1997
37,107.2711
40,107.4322
41,107.4822
16,107.7128
15,107.7258
19,107.8317
7,108.1317
25,108.2933
26,108.3908
8,108.3942
28,108.5103
7,108.715
35,108.9886
21,109.4722
