18,0.1783,7,2
15,0.2164,7,2
16,0.3639,7,2
15,1.3731,7,2
16,1.4675,7,2
15,1.8819,7,2
27,3.0033,7,2
28,3.3778,7,2
24,3.5472,7,2
25,3.5778,7,2
26,3.9306,7,2
28,7.1958,7,2
29,7.6381,7,2
30,7.6792,7,2
29,8.2375,7,2
27,8.3075,7,2
26,8.3514,7,2
25,8.6656,7,2
24,9.1242,7,2
25,9.4022,7,2
26,9.8608,7,2
26,10.0583,7,2
32,12.9797,7,2
30,13.0511,7,2
29,13.14,7,2
31,13.2931,7,2
32,13.3375,7,2
31,13.5161,7,2
29,13.9692,7,2
30,14.2681,7,2
31,14.3897,7,2
30,14.6408,7,2
35,14.9608,7,2
28,15.8728,7,2
26,16.0494,7,2
25,16.1633,7,2
17,17.4547,7,2
16,17.8717,7,2
13,19.1381,7,2
11,19.3339,7,2
13,19.3967,7,2
14,19.4619,7,2
27,48.1711,7,2
25,48.2017,7,2
24,48.3267,7,2
23,48.3517,7,2
24,48.3683,7,2
25,48.3908,7,2
26,48.4047,7,2
25,48.4269,7,2
34,48.6047,7,2
34,48.8364,7,2
35,48.8833,7,2
34,49.1753,7,2
35,49.2036,7,2
34,50.0425,7,2
36,50.2842,7,2
35,50.3706,7,2
34,50.4469,7,2
33,50.5081,7,2
34,50.655,7,2
33,50.6747,7,2
32,51.6311,7,2
27,51.8894,7,2
28,52.2006,7,2
30,52.5147,7,2
35,52.6142,7,2
34,52.6831,7,2
29,53.9031,7,2
30,53.9614,7,2
31,54.0114,7,2
31,55.1131,7,2
34,55.4533,7,2
35,55.565,7,2
35,56.3078,7,2
36,56.5353,7,2
31,57.5719,7,2
30,57.6319,7,2
30,57.8069,7,2
30,58.2214,7,2
31,58.4106,7,2
32,58.455,7,2
36,58.5397,7,2
38,58.6467,7,2
36,59.3386,7,2
37,59.44,7,2
33,59.6994,7,2
32,59.7858,7,2
31,59.8667,7,2
30,60.1714,7,2
27,60.2269,7,2
