
1.0  5.0	5.0		2.486316		2.472342
3.0  3.0	1.0		2.547458		2.507601
1.0  1.0	1.0		0.849153		0.835867
3.0  3.0	1.0		2.547458		2.507601
3.0  3.0	1.0		2.547458		2.507601
3.0  3.0	1.0		2.547458		1.547812
3.0  3.0	1.0		2.547458		1.547480
3.0  3.0	1.0		2.547458		1.547480
3.0  3.0	1.0		2.547458		1.593032
3.0  3.0	1.0		2.547458		1.593032
3.0  3.0	1.0		2.547458		1.593032
3.0  3.0	1.0		2.547458		1.555246
3.0  3.0	1.0		2.547458		1.764141
3.0  3.0	1.0		2.547458		1.553574
3.0  3.0	1.0		2.547458		1.553574
3.0  3.0	1.0		2.547458		1.553719
3.0  3.0	1.0		2.547458		1.609380
3.0  3.0	1.0		2.547458		1.609489
3.0  3.0	1.0		2.547458		1.609540
3.0  3.0	1.0		2.547458		1.609588
3.0  3.0	1.0		2.547458		1.547882
3.0  3.0	1.0		2.547458		1.547812
3.0  3.0	1.0		2.547458		1.547741
3.0  3.0	1.0		2.547458		1.547625
3.0  3.0	1.0		2.547458		1.593179
3.0  3.0	1.0		2.547458		1.593290
3.0  3.0	1.0		2.547458		1.593349
3.0  3.0	1.0		2.547458		1.593406
3.0  3.0	1.0		2.547458		1.457448
3.0  3.0	1.0		2.547458		1.457397
3.0  3.0	1.0		2.547458		1.457346
3.0  3.0	1.0		2.547458		1.457242
3.0  3.0	1.0		2.547458		1.590120
3.0  3.0	1.0		2.547458		1.590232
3.0  3.0	1.0		2.547458		1.590289
3.0  3.0	1.0		2.547458		1.590344
3.0  3.0	1.0		2.547458		1.590482		1.590344
